GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
25.412,12.0,22.0,39.357,38.294,15.4,15.0,12.0,57.333
32.857,63.333,63.0,11.0,17.0,30.0,21.0,51.667,34.839
31.652,31.909,57.29,10.909,58.966,18.0,59.429,0.0,40.375
46.667,30.0,37.12,16.0,67.541,80.5,22.0,6.0,88.4
20.0,6.0,22.0,88.2,17.0,40.0,51.308,81.0,12.0
50.077,14.0,34.0,32.609,59.0,28.364,46.0,50.625,45.714
18.947,15.0,71.789,17.0,83.154,47.0,49.241,14.0,69.75
33.333,14.0,10.0,13.0,47.308,21.125,19.0,36.0,59.533
41.083,38.0,76.931,52.0,43.707,58.667,17.0,165.526,21.0
41.143,32.0,46.095,30.0,36.0,75.6,104.93,28.286,31.8
21.818,33.455,34.545,36.0,17.0,81.613,10.0,20.0,11.0
40.32,14.0,100.774,47.793,84.941,30.6,20.0,18.0,14.0
50.667,29.0,17.0,23.448,57.182,45.0,15.0,66.0,0.0
69.774,20.0,47.806,7.0,119.6,55.364,38.769,57.429,51.412
26.4,22.0,54.4,22.0,56.4,11.077,17.0,55.25,45.613
51.556,5.0,34.0,54.0,36.0,17.0,34.125,31.263,20.0
41.143,34.167,46.222,21.0,34.0,26.231,70.14,16.0,4.0
33.871,26.0,53.75,42.0,61.818,28.0,83.375,76.667,7.0
23.294,17.818,45.862,12.0,13.0,22.0,67.167,21.0,13.0
77.519,4.0,11.0,57.846,60.207,49.8,72.632,37.241,16.0
73.929,88.4,45.5,96.677,47.609,13.0,6.0,24.095,107.25
12.0,39.13,54.4,55.387,48.913,41.391,71.4,42.0,65.556
48.333,20.0,110.2,15.0,87.245,42.0,44.471,6.0,18.0
39.429,37.4,63.529,12.0,64.08,13.0,11.0,72.857,12.0
74.308,8.182,41.727,8.0,65.517,13.0,17.0,55.579,57.812
31.778,28.0,59.538,14.0,26.0,37.926,75.9,46.111,22.0
31.2,16.0,33.846,45.333,32.143,24.96,57.5,83.75,116.368
