GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.545,0.5,0.474,0.333,0.889,0.875,0.25,0.333,0.56
0.312,0.25,0.6,0.25,0.588,0.294,0.091,0.385,0.409
0.643,0.571,0.722,0.833,0.381,0.2,0.273,0.529,0.231
0.429,0.095,0.562,0.385,0.37,0.556,0.083,0.556,0.346
0.222,0.167,0.833,0.333,0.059,0.6,0.182,0.455,0.125
0.733,0.462,0.6,0.533,0.7,0.571,0.267,0.455,0.4
0.727,0.0,0.52,0.118,0.625,0.636,0.381,0.222,0.29
0.636,0.333,0.455,0.462,0.444,0.882,0.062,0.133,0.364
0.6,0.174,0.45,0.375,0.952,0.6,0.176,0.583,0.158
0.4,0.929,0.235,0.444,0.364,0.765,0.593,0.75,0.5
0.375,0.158,0.571,0.444,0.111,0.824,0.1,0.167,0.133
0.562,0.286,0.722,0.381,0.417,0.818,0.056,0.304,0.3
0.714,0.625,0.188,0.812,0.467,0.6,0.118,0.333,0.8
0.476,0.533,0.55,0.625,0.905,0.692,0.3,0.235,0.259
1.0,0.294,0.5,0.118,0.364,0.857,0.15,0.333,0.55
0.2,0.4,0.375,0.538,0.667,0.353,0.455,0.9,0.5
0.474,0.6,0.895,0.211,0.467,0.625,0.387,0.125,0.5
0.632,0.35,0.6,0.5,0.222,0.875,0.684,0.412,0.111
0.545,0.571,0.611,0.125,0.294,0.45,0.714,0.118,0.294
0.35,0.857,0.2,0.529,0.611,0.562,0.267,0.933,0.0
0.474,0.25,0.684,0.632,0.438,0.389,0.4,0.615,0.391
0.143,0.533,0.471,0.55,0.438,0.353,0.429,0.4,0.44
0.412,0.385,0.765,0.133,0.885,0.412,0.133,0.3,0.222
0.312,0.364,0.619,0.053,0.562,0.312,0.529,0.4,0.067
0.368,0.571,0.294,0.4,0.261,0.25,0.2,0.188,0.333
0.5,0.389,0.733,0.071,0.333,0.421,0.333,0.286,0.095
0.364,0.364,0.625,0.304,0.556,0.562,0.412,0.6,0.357
0.312,0.294,0.222,0.2,0.846,0.938,0.16,0.222,0.125
0.556,0.409,0.5,0.941,0.952,0.647,0.583,0.5,1.0
0.429,0.667,0.667,0.174,0.294,0.364,0.0,0.474,0.13
0.583,0.278,0.889,0.5,0.737,0.261,0.474,0.294,0.5
0.476,0.188,0.636,0.103,0.5,0.429,0.167,0.222,0.35
0.214,0.4,0.571,0.125,0.632,0.348,0.375,0.417,0.238
0.75,0.077,0.533,0.542,0.7,0.421,0.474,0.167,0.588
0.5,0.368,0.6,0.458,0.864,0.562,0.08,0.118,0.381
0.571,0.267,0.471,0.462,0.579,0.471,0.231,0.154,0.143
0.538,0.0,0.2,0.12,0.455,0.278,0.15,0.6,0.667
0.25,0.0,0.278,0.148,0.421,0.562,0.364,0.0,0.143
