GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.317,0.314,0.54,0.76,0.775,0.696,0.743,0.58,0.402
0.726,0.716,0.728,0.832,0.832,0.737,0.524,0.478,0.791
0.711,0.717,0.837,0.504,0.691,0.769,0.526,0.356,0.723
0.547,0.65,0.904,0.895,0.537,0.786,0.264,0.324,0.543
0.271,0.45,0.573,0.345,0.698,0.761,0.714,0.738,0.853
0.157,0.77,0.855,0.903,0.678,0.825,0.881,0.468,0.775
0.584,0.412,0.537,0.78,0.819,0.886,0.562,0.628,0.279
0.313,0.626,0.765,0.863,0.726,0.784,0.552,0.635,0.676
0.331,0.33,0.616,0.596,0.689,0.893,0.778,0.544,0.588
0.456,0.801,0.719,0.829,0.683,0.842,0.523,0.51,0.626
0.63,0.89,0.788,0.737,0.74,0.847,0.596,0.65,0.906
0.786,0.453,0.856,0.669,0.804,0.759,0.54,0.564,0.803
0.131,0.764,0.718,0.695,0.701,0.838,0.647,0.797,0.424
0.832,0.74,0.629,0.392,0.634,0.798,0.897,0.905,0.615
0.613,0.818,0.777,0.107,0.691,0.709,0.513,0.938,0.636
0.825,0.484,0.813,0.689,0.883,0.472,0.721,0.521,0.559
0.28,0.765,0.85,0.507,0.619,0.867,0.378,0.511,0.44
0.295,0.579,0.754,0.867,0.755,0.773,0.754,0.578,0.55
0.427,0.552,0.705,0.669,0.894,0.578,0.511,0.482,0.852
0.307,0.613,0.927,0.908,0.897,0.764,0.326,0.731,0.799
0.404,0.558,0.796,0.439,0.89,0.803,0.724,0.142,0.265
0.645,0.816,0.942,0.809,0.772,0.856,0.797,0.751,0.606
0.513,0.839,0.691,0.733,0.5,0.83,0.555,0.626,0.488
0.461,0.663,0.831,0.6,0.93,0.522,0.825,0.8,0.64
0.455,0.561,0.867,0.567,0.616,0.586,0.725,0.538,0.573
0.669,0.617,0.755,0.699,0.774,0.606,0.336,0.496,0.407
0.339,0.837,0.824,0.704,0.545,0.799,0.804,0.661,0.374
0.55,0.789,0.472,0.681,0.655,0.789,0.415,0.764,0.595
0.241,0.729,0.915,0.786,0.763,0.799,0.582,0.548,0.614
0.353,0.308,0.467,0.675,0.837,0.769,0.396,0.891,0.385
0.715,0.769,0.771,0.323,0.819,0.741,0.941,0.873,0.833
0.822,0.65,0.732,0.233,0.728,0.842,0.54,0.601,0.744
0.518,0.49,0.81,0.434,0.783,0.77,0.636,0.768,0.572
0.513,0.656,0.923,0.775,0.627,0.629,0.381,0.478,0.787
0.609,0.758,0.782,0.662,0.708,0.621,0.445,0.723,0.805
0.145,0.825,0.821,0.875,0.798,0.749,0.598,0.657,0.707
0.314,0.24,0.771,0.312,0.799,0.806,0.607,0.481,0.76
0.45,0.53,0.713,0.324,0.825,0.704,0.704,0.509,0.769
0.706,0.888,0.801,0.478,0.715,0.644,0.859,0.383,0.747
0.348,0.847,0.869,0.66,0.901,0.711,0.629,0.563,0.857
0.241,0.816,0.752,0.643,0.846,0.658,0.6,0.377,0.514
0.149,0.698,0.761,0.389,0.836,0.807,0.793,0.508,0.691
0.597,0.8,0.878,0.714,0.649,0.674,0.489,0.567,0.626
0.417,0.488,0.674,0.401,0.861,0.841,0.429,0.743,0.443
0.255,0.704,0.81,0.871,0.649,0.852,0.581,0.757,0.911
0.542,0.571,0.789,0.662,0.784,0.57,0.55,0.612,0.593
0.783,0.727,0.826,0.665,0.834,0.815,0.21,0.34,0.644
0.403,0.583,0.851,0.687,0.553,0.525,0.404,0.4,0.479
0.265,0.443,0.483,0.526,0.768,0.876,0.727,0.501,0.487
0.212,0.847,0.597,0.613,0.745,0.809,0.488,0.637,0.801
0.51,0.715,0.874,0.456,0.547,0.73,0.471,0.438,0.851
0.393,0.632,0.762,0.839,0.922,0.893,0.783,0.529,0.928
0.274,0.432,0.875,0.708,0.648,0.685,0.68,0.378,0.903
0.151,0.515,0.892,0.636,0.691,0.792,0.447,0.509,0.769
0.464,0.693,0.85,0.862,0.637,0.851,0.51,0.74,0.066
0.546,0.544,0.56,0.907,0.679,0.782,0.634,0.476,0.669
0.506,0.592,0.742,0.306,0.803,0.8,0.489,0.615,0.274
0.586,0.606,0.827,0.827,0.651,0.744,0.799,0.592,0.839
0.237,0.91,0.571,0.664,0.687,0.54,0.515,0.611,0.238
0.733,0.811,0.769,0.815,0.599,0.819,0.813,0.672,0.179
0.241,0.836,0.697,0.286,0.739,0.568,0.453,0.343,0.266
0.777,0.811,0.845,0.214,0.726,0.777,0.708,0.492,0.897
0.317,0.639,0.79,0.588,0.755,0.823,0.535,0.697,0.575
0.629,0.433,0.883,0.589,0.862,0.631,0.885,0.39,0.511
0.326,0.548,0.729,0.538,0.769,0.848,0.468,0.131,0.79
0.105,0.801,0.602,0.746,0.73,0.704,0.611,0.542,0.806
0.673,0.484,0.866,0.416,0.834,0.65,0.833,0.666,0.33
0.343,0.782,0.876,0.791,0.776,0.431,0.812,0.31,0.582
0.195,0.346,0.932,0.885,0.678,0.864,0.703,0.64,0.815
0.85,0.573,0.823,0.296,0.791,0.83,0.851,0.232,0.49
0.609,0.78,0.903,0.77,0.797,0.338,0.358,0.61,0.654
0.18,0.736,0.538,0.747,0.493,0.798,0.311,0.457,0.894
0.322,0.762,0.764,0.661,0.734,0.729,0.307,0.683,0.282
0.275,0.899,0.583,0.621,0.544,0.755,0.646,0.246,0.662
0.373,0.793,0.706,0.43,0.773,0.828,0.904,0.566,0.688
0.247,0.81,0.769,0.513,0.605,0.933,0.598,0.314,0.438
0.814,0.765,0.8,0.247,0.499,0.841,0.922,0.766,0.796
0.252,0.827,0.583,0.842,0.931,0.757,0.756,0.852,0.825
0.575,0.664,0.747,0.13,0.873,0.563,0.561,0.101,0.833
0.299,0.616,0.888,0.329,0.746,0.76,0.599,0.6,0.641
0.803,0.696,0.919,0.822,0.842,0.468,0.711,0.54,0.622
0.864,0.836,0.691,0.345,0.68,0.84,0.849,0.797,0.384
0.794,0.672,0.653,0.419,0.795,0.764,0.844,0.669,0.623
0.487,0.448,0.836,0.777,0.794,0.808,0.681,0.807,0.51
0.323,0.875,0.652,0.795,0.736,0.497,0.335,0.667,0.371
0.559,0.689,0.759,0.664,0.774,0.854,0.491,0.706,0.42
0.675,0.639,0.841,0.94,0.852,0.908,0.269,0.407,0.745
0.236,0.726,0.568,0.773,0.761,0.584,0.19,0.687,0.894
0.117,0.382,0.863,0.646,0.822,0.821,0.155,0.569,0.7
0.348,0.45,0.871,0.758,0.756,0.869,0.42,0.64,0.436
0.232,0.295,0.776,0.55,0.757,0.726,0.578,0.614,0.333
0.584,0.397,0.747,0.847,0.486,0.612,0.604,0.785,0.729
0.859,0.514,0.426,0.298,0.544,0.555,0.824,0.667,0.569
0.901,0.691,0.693,0.927,0.774,0.54,0.663,0.57,0.4
0.524,0.506,0.897,0.564,0.788,0.749,0.634,0.397,0.814
0.168,0.349,0.714,0.623,0.896,0.864,0.442,0.354,0.819
0.546,0.581,0.675,0.582,0.692,0.768,0.678,0.603,0.385
0.208,0.765,0.812,0.825,0.879,0.795,0.543,0.683,0.727
0.698,0.573,0.913,0.767,0.721,0.833,0.389,0.89,0.287
0.491,0.658,0.854,0.55,0.752,0.67,0.719,0.474,0.892
0.526,0.78,0.757,0.696,0.841,0.901,0.434,0.354,0.587
0.66,0.604,0.789,0.535,0.818,0.62,0.462,0.705,0.776
0.312,0.736,0.767,0.755,0.734,0.897,0.654,0.7,0.741
0.843,0.572,0.858,0.816,0.71,0.722,0.895,0.397,0.607
0.466,0.609,0.74,0.587,0.88,0.868,0.914,0.629,0.507
0.488,0.544,0.676,0.492,0.815,0.85,0.746,0.607,0.862
0.594,0.391,0.619,0.309,0.804,0.742,0.344,0.663,0.299
0.785,0.744,0.728,0.787,0.667,0.742,0.414,0.677,0.622
0.35,0.529,0.831,0.696,0.918,0.8,0.904,0.701,0.492
0.786,0.311,0.778,0.298,0.762,0.636,0.52,0.741,0.752
0.784,0.449,0.475,0.343,0.854,0.499,0.354,0.328,0.456
0.178,0.634,0.866,0.842,0.838,0.628,0.332,0.509,0.909
0.313,0.802,0.845,0.89,0.857,0.808,0.46,0.649,0.451
0.743,0.587,0.766,0.464,0.695,0.739,0.709,0.779,0.455
0.598,0.482,0.715,0.512,0.829,0.66,0.33,0.677,0.629
0.43,0.584,0.709,0.418,0.833,0.757,0.776,0.623,0.37
0.758,0.403,0.886,0.561,0.692,0.829,0.696,0.699,0.529
0.499,0.88,0.595,0.423,0.794,0.82,0.586,0.595,0.745
0.511,0.828,0.627,0.514,0.846,0.615,0.568,0.621,0.862
0.387,0.448,0.784,0.457,0.777,0.776,0.374,0.373,0.53
0.807,0.57,0.344,0.917,0.432,0.872,0.877,0.585,0.586
0.576,0.706,0.816,0.623,0.665,0.88,0.778,0.267,0.467
0.876,0.634,0.661,0.749,0.735,0.708,0.546,0.76,0.153
0.227,0.544,0.856,0.671,0.821,0.616,0.628,0.32,0.664
0.063,0.835,0.835,0.607,0.59,0.794,0.564,0.625,0.846
0.398,0.717,0.741,0.801,0.83,0.869,0.665,0.716,0.817
0.069,0.83,0.497,0.745,0.613,0.903,0.538,0.798,0.684
0.387,0.705,0.61,0.492,0.907,0.825,0.858,0.649,0.55
0.447,0.389,0.848,0.562,0.787,0.894,0.487,0.797,0.728
0.674,0.555,0.706,0.649,0.621,0.762,0.231,0.342,0.705
0.145,0.939,0.737,0.637,0.817,0.534,0.693,0.591,0.741
0.187,0.875,0.776,0.432,0.814,0.808,0.728,0.189,0.366
0.718,0.805,0.647,0.814,0.83,0.569,0.888,0.673,0.654
0.061,0.902,0.592,0.747,0.789,0.778,0.812,0.659,0.612
0.227,0.472,0.844,0.309,0.593,0.772,0.741,0.552,0.29
0.365,0.615,0.599,0.393,0.746,0.745,0.808,0.389,0.666
0.241,0.456,0.719,0.875,0.495,0.812,0.685,0.601,0.906
0.629,0.786,0.69,0.482,0.748,0.661,0.488,0.523,0.859
0.77,0.591,0.67,0.615,0.853,0.77,0.92,0.574,0.737
0.71,0.632,0.714,0.726,0.724,0.747,0.824,0.697,0.845
0.787,0.597,0.812,0.282,0.728,0.635,0.499,0.128,0.683
0.289,0.535,0.868,0.774,0.502,0.646,0.309,0.667,0.474
0.344,0.714,0.734,0.59,0.68,0.771,0.673,0.31,0.442
0.296,0.323,0.856,0.355,0.905,0.898,0.799,0.816,0.642
0.272,0.897,0.895,0.425,0.654,0.871,0.395,0.37,0.476
0.371,0.701,0.802,0.379,0.668,0.723,0.698,0.48,0.881
0.538,0.698,0.909,0.335,0.754,0.833,0.317,0.514,0.817
0.882,0.532,0.5,0.794,0.667,0.867,0.489,0.55,0.763
0.198,0.905,0.803,0.72,0.781,0.643,0.131,0.752,0.743
0.377,0.735,0.857,0.338,0.764,0.923,0.578,0.098,0.639
0.545,0.861,0.599,0.895,0.591,0.518,0.077,0.528,0.641
0.634,0.773,0.746,0.881,0.832,0.83,0.849,0.692,0.411
0.88,0.575,0.811,0.454,0.906,0.793,0.269,0.779,0.35
0.546,0.759,0.859,0.801,0.864,0.776,0.786,0.157,0.825
0.392,0.692,0.853,0.925,0.806,0.72,0.504,0.146,0.688
0.13,0.604,0.694,0.468,0.854,0.555,0.678,0.714,0.518
0.34,0.876,0.839,0.536,0.92,0.876,0.29,0.841,0.537
0.219,0.448,0.919,0.485,0.711,0.879,0.654,0.42,0.849
0.43,0.756,0.876,0.688,0.708,0.856,0.658,0.502,0.66
0.314,0.532,0.748,0.695,0.61,0.747,0.591,0.752,0.845
0.617,0.878,0.895,0.583,0.784,0.655,0.392,0.905,0.844
0.138,0.851,0.813,0.804,0.718,0.568,0.348,0.747,0.229
0.621,0.596,0.839,0.755,0.761,0.841,0.798,0.681,0.295
0.203,0.757,0.764,0.792,0.76,0.458,0.762,0.764,0.906
0.807,0.739,0.676,0.848,0.857,0.622,0.818,0.146,0.32
0.368,0.637,0.604,0.814,0.853,0.756,0.503,0.496,0.751
0.341,0.748,0.901,0.594,0.897,0.591,0.661,0.799,0.333
0.289,0.518,0.745,0.823,0.74,0.868,0.796,0.462,0.704
0.335,0.821,0.755,0.821,0.791,0.742,0.433,0.132,0.151
0.228,0.566,0.632,0.272,0.797,0.837,0.54,0.485,0.553
0.206,0.682,0.521,0.439,0.712,0.845,0.36,0.79,0.31
0.87,0.707,0.865,0.538,0.678,0.898,0.37,0.335,0.706
0.808,0.807,0.691,0.869,0.86,0.831,0.874,0.502,0.757
0.316,0.853,0.642,0.58,0.896,0.822,0.668,0.687,0.56
0.283,0.812,0.657,0.292,0.815,0.831,0.84,0.75,0.584
0.155,0.646,0.752,0.444,0.466,0.747,0.567,0.472,0.724
0.531,0.639,0.933,0.553,0.869,0.848,0.894,0.637,0.65
0.368,0.55,0.859,0.678,0.5,0.785,0.368,0.339,0.849
0.26,0.661,0.817,0.5,0.809,0.529,0.787,0.552,0.297
0.72,0.486,0.807,0.884,0.803,0.924,0.372,0.735,0.8
0.594,0.457,0.625,0.827,0.733,0.736,0.607,0.426,0.854
0.449,0.288,0.797,0.701,0.833,0.526,0.552,0.762,0.624
0.413,0.81,0.817,0.739,0.586,0.799,0.269,0.27,0.906
0.188,0.873,0.806,0.718,0.806,0.664,0.826,0.432,0.876
0.118,0.833,0.61,0.653,0.884,0.576,0.866,0.616,0.77
0.151,0.77,0.657,0.751,0.863,0.256,0.548,0.836,0.783
0.523,0.601,0.498,0.828,0.759,0.844,0.476,0.705,0.488
0.356,0.448,0.885,0.74,0.866,0.867,0.746,0.699,0.857
0.583,0.677,0.732,0.402,0.605,0.818,0.705,0.533,0.455
0.479,0.719,0.886,0.691,0.602,0.554,0.939,0.702,0.619
0.275,0.878,0.901,0.582,0.556,0.65,0.805,0.587,0.516
0.766,0.579,0.763,0.607,0.711,0.894,0.674,0.665,0.691
0.529,0.716,0.849,0.719,0.639,0.847,0.501,0.66,0.79
0.338,0.701,0.489,0.655,0.84,0.776,0.482,0.863,0.599
0.618,0.79,0.648,0.581,0.738,0.513,0.439,0.145,0.358
0.21,0.795,0.765,0.428,0.755,0.689,0.816,0.528,0.443
0.293,0.849,0.879,0.206,0.629,0.511,0.31,0.764,0.345
0.383,0.75,0.758,0.371,0.675,0.602,0.843,0.627,0.74
0.142,0.635,0.831,0.885,0.824,0.678,0.635,0.59,0.426
0.168,0.142,0.722,0.656,0.735,0.853,0.612,0.823,0.181
0.236,0.371,0.666,0.545,0.867,0.885,0.752,0.923,0.77
0.31,0.234,0.873,0.621,0.857,0.792,0.444,0.497,0.674
0.469,0.896,0.695,0.341,0.908,0.761,0.598,0.373,0.19
0.625,0.837,0.815,0.561,0.751,0.799,0.169,0.248,0.762
0.282,0.694,0.884,0.782,0.865,0.859,0.906,0.813,0.503
0.212,0.619,0.784,0.7,0.828,0.721,0.917,0.566,0.849
0.749,0.249,0.599,0.793,0.722,0.91,0.862,0.671,0.878
0.69,0.592,0.792,0.617,0.799,0.608,0.747,0.653,0.69
0.305,0.596,0.916,0.433,0.742,0.827,0.339,0.65,0.672
0.318,0.911,0.855,0.699,0.617,0.786,0.938,0.75,0.896
0.314,0.417,0.835,0.644,0.507,0.839,0.424,0.689,0.803
0.053,0.492,0.876,0.758,0.84,0.641,0.903,0.792,0.617
0.318,0.684,0.707,0.9,0.847,0.717,0.745,0.567,0.89
0.725,0.809,0.577,0.358,0.834,0.787,0.478,0.805,0.665
0.729,0.722,0.862,0.41,0.695,0.863,0.922,0.576,0.855
0.177,0.639,0.892,0.808,0.705,0.713,0.458,0.766,0.479
0.66,0.384,0.778,0.552,0.734,0.646,0.385,0.633,0.139
0.554,0.614,0.79,0.686,0.612,0.885,0.551,0.899,0.85
0.648,0.361,0.492,0.777,0.558,0.653,0.401,0.67,0.53
0.812,0.479,0.885,0.697,0.876,0.681,0.709,0.514,0.849
0.476,0.882,0.925,0.489,0.657,0.726,0.773,0.619,0.627
0.318,0.5,0.703,0.419,0.829,0.642,0.467,0.507,0.144
0.827,0.83,0.768,0.853,0.712,0.777,0.75,0.592,0.631
0.657,0.851,0.683,0.626,0.841,0.772,0.324,0.467,0.81
0.787,0.603,0.791,0.425,0.662,0.839,0.553,0.562,0.524
0.607,0.677,0.723,0.448,0.751,0.756,0.504,0.766,0.202
0.276,0.551,0.801,0.688,0.719,0.693,0.877,0.762,0.279
0.505,0.564,0.813,0.778,0.866,0.684,0.747,0.317,0.684
0.54,0.675,0.613,0.92,0.767,0.682,0.613,0.763,0.543
0.494,0.33,0.872,0.859,0.725,0.829,0.621,0.695,0.475
0.353,0.661,0.779,0.672,0.709,0.69,0.327,0.691,0.681
0.468,0.6,0.731,0.776,0.45,0.563,0.841,0.693,0.909
0.729,0.844,0.74,0.618,0.761,0.552,0.509,0.186,0.628
0.244,0.6,0.917,0.291,0.598,0.735,0.633,0.497,0.693
0.778,0.709,0.724,0.875,0.862,0.771,0.654,0.35,0.646
0.224,0.719,0.842,0.418,0.861,0.793,0.883,0.572,0.78
0.303,0.592,0.615,0.873,0.855,0.831,0.851,0.881,0.88
0.656,0.854,0.775,0.76,0.802,0.822,0.585,0.509,0.77
0.694,0.575,0.652,0.839,0.59,0.594,0.532,0.579,0.856
0.43,0.813,0.298,0.628,0.871,0.808,0.265,0.616,0.822
0.545,0.778,0.74,0.738,0.606,0.899,0.269,0.643,0.56
0.827,0.703,0.763,0.883,0.797,0.893,0.505,0.428,0.703
0.412,0.633,0.672,0.905,0.52,0.718,0.717,0.563,0.372
0.524,0.782,0.84,0.545,0.607,0.842,0.707,0.719,0.839
0.597,0.293,0.852,0.456,0.696,0.843,0.795,0.438,0.77
0.732,0.773,0.832,0.327,0.76,0.771,0.455,0.641,0.854
0.746,0.582,0.838,0.796,0.733,0.733,0.848,0.646,0.868
0.324,0.722,0.66,0.539,0.872,0.708,0.258,0.65,0.586
0.742,0.754,0.718,0.733,0.675,0.792,0.519,0.566,0.668
