GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
4.838,3.571,3.673,2.793,3.661,3.134,2.168,4.893,3.34
3.681,3.87,3.579,1.903,3.003,2.855,2.555,3.893,1.977
5.328,2.66,3.791,3.133,2.876,2.188,2.59,3.451,2.597
5.468,2.59,2.758,2.794,2.708,3.226,2.414,2.811,3.839
3.876,2.895,3.197,3.722,2.207,2.299,2.144,3.758,2.146
5.713,2.741,3.124,2.169,3.056,3.353,2.789,4.157,2.207
5.193,2.103,3.357,2.281,4.695,2.473,2.336,2.296,2.695
4.853,3.707,2.568,2.583,2.69,3.263,2.858,2.385,3.142
5.47,2.842,3.609,2.868,3.077,3.509,2.462,6.456,3.217
5.367,3.836,3.043,2.279,3.109,3.848,3.74,4.294,2.5
4.35,2.777,3.166,2.889,2.261,4.255,1.999,2.647,2.653
5.028,3.471,3.836,2.131,3.598,4.778,2.067,3.058,2.381
5.568,2.463,2.426,2.629,3.569,3.199,3.257,3.802,3.127
4.719,3.33,2.526,3.173,4.508,3.425,2.491,2.883,2.589
4.961,2.907,2.925,2.425,2.921,2.408,2.299,3.006,3.051
2.725,3.271,2.738,3.705,2.983,2.819,4.777,5.611,2.938
5.58,2.774,3.053,3.01,3.662,2.996,3.092,2.513,2.363
5.621,2.647,3.753,1.929,2.924,2.591,3.368,4.019,1.58
4.754,4.449,2.942,1.943,2.158,3.346,2.65,2.507,2.448
5.478,4.131,2.332,2.82,3.622,3.167,2.61,3.898,1.878
5.462,4.51,2.939,4.199,3.012,2.772,1.876,4.147,4.389
2.481,3.688,2.773,3.201,3.358,2.552,4.612,3.153,3.408
5.529,3.013,4.187,1.968,3.853,2.824,2.762,1.226,3.143
5.145,2.606,3.53,2.884,3.209,2.948,2.157,3.535,1.913
4.596,3.693,2.519,2.406,2.645,2.59,2.422,4.126,2.817
4.435,3.098,3.59,2.903,2.631,3.123,2.797,3.968,2.398
5.246,2.593,2.908,2.047,2.802,2.725,4.996,4.101,4.043
3.921,2.956,2.549,2.174,1.914,3.136,3.165,2.478,1.407
5.002,3.699,3.147,4.24,4.73,3.44,3.13,4.196,1.995
4.58,4.005,4.04,3.472,2.023,3.03,2.501,3.822,2.292
4.989,2.03,3.537,3.448,3.735,2.837,2.86,3.474,2.438
4.967,2.543,2.845,2.61,2.544,4.574,2.217,1.929,2.204
3.417,3.451,4.214,2.31,2.563,3.29,3.431,3.737,3.334
5.247,2.95,2.602,3.599,3.92,2.574,3.496,3.384,4.992
4.528,3.123,2.462,3.775,3.814,2.912,2.815,2.412,2.456
4.883,3.464,4.549,2.035,3.229,3.607,1.983,2.818,3.801
4.73,2.987,2.144,2.547,2.909,1.949,2.513,5.426,2.363
4.968,2.963,2.579,4.039,3.618,2.485,2.938,2.429,3.746
4.118,4.166,2.436,2.679,3.296,2.755,2.97,3.809,2.677
5.205,2.611,4.067,2.844,3.31,3.189,2.678,2.621,2.272
4.63,3.465,4.226,2.87,3.193,2.622,2.464,4.861,2.444
5.376,3.347,2.417,2.616,2.814,2.021,2.311,2.722,3.022
4.556,2.124,2.803,2.293,4.909,2.479,2.347,3.526,2.647
5.174,3.531,3.518,3.791,2.688,3.168,3.632,3.839,4.006
5.255,3.221,3.452,2.303,2.647,3.58,3.12,3.585,2.372
5.452,2.185,3.947,3.183,2.153,2.371,2.802,2.718,2.74
3.868,2.523,3.109,2.016,3.538,2.466,3.138,4.24,2.999
5.019,2.6,2.749,1.639,3.42,1.913,3.329,2.9,4.264
5.22,3.132,2.934,3.169,2.933,3.238,2.676,4.11,2.389
5.8,2.018,2.007,2.676,3.234,3.682,2.179,2.829,4.255
5.358,3.801,3.9,2.586,4.97,3.527,2.868,3.889,1.83
5.605,3.089,2.76,2.571,3.504,3.465,2.246,1.865,3.67
5.606,2.01,2.389,5.288,3.401,2.429,2.722,5.608,4.411
5.059,4.464,1.617,2.35,2.351,2.099,2.799,2.467,3.772
5.364,2.692,3.351,1.935,2.212,3.403,1.943,3.033,4.708
3.225,4.125,1.936,2.592,3.163,3.052,2.401,4.141,3.82
4.262,2.581,3.627,4.483,4.158,2.129,3.154,1.258,4.008
2.032,1.839,4.036,4.022,3.062,3.132,1.942,4.629,4.98
5.125,3.942,2.755,4.712,3.656,2.896,3.118,3.908,3.226
3.825,2.897,2.112,2.273,2.414,3.102,4.923,2.43,2.673
5.083,3.109,2.779,3.061,3.436,3.035,2.283,3.176,2.71
4.128,4.229,3.96,3.798,4.544,2.605,2.219,1.836,3.229
4.851,3.519,2.856,2.476,3.707,3.588,4.405,1.583,2.87
3.655,3.309,2.52,2.808,2.277,2.72,2.115,4.198,2.805
5.027,2.902,3.851,3.82,3.225,2.934,2.06,5.308,1.993
5.489,2.249,1.776,2.076,2.857,3.032,2.22,3.789,2.919
4.942,3.146,2.775,2.505,3.08,3.528,2.475,2.555,2.75
5.233,1.992,2.89,2.994,2.643,2.37,3.019,2.281,4.188
5.166,3.981,2.81,2.407,3.609,2.392,2.222,1.943,2.326
4.596,3.043,2.825,2.646,2.517,3.072,3.028,3.528,3.058
4.55,4.294,3.05,2.255,4.339,2.278,2.768,4.26,2.47
5.546,2.846,3.414,2.28,2.665,3.182,3.016,2.037,2.159
4.325,4.34,3.125,4.497,3.829,3.24,3.011,3.779,3.359
5.458,2.296,2.477,2.505,2.717,3.105,2.346,4.664,2.042
4.401,3.532,3.292,3.461,2.808,2.473,3.008,2.514,3.418
5.086,2.612,4.033,3.945,2.805,2.65,2.359,2.464,4.045
3.469,2.495,4.047,2.47,2.879,3.674,2.464,5.019,2.704
4.927,3.108,3.437,4.073,1.853,2.821,2.261,4.22,2.819
